코드,원료명,공급사,단가,원산지,포장단위,분류,기능성,규격,비고
SRC21-0082,녹색입홍합분말(동결건조),(미지정),65000,뉴질랜드,25,일반식품,N,,
SRC21-0083,녹용농축액,(미지정),145000,뉴질랜드,20,일반식품,N,5brix,
SRC21-0084,녹용농축액,(미지정),155000,러시아,20,일반식품,N,,
SRC21-0085,녹용추출분말,(미지정),140000,뉴질랜드,10,일반식품,N,10%,
SRC21-0086,녹용추출분말,(미지정),65000,뉴질랜드,,일반식품,N,해찬솔,
SRC21-0087,녹용추출액,(미지정),27000,뉴질랜드,,일반식품,N,해찬솔,
SRC21-0088,녹차추출물분말,(미지정),100000,인도,,건기식,Y,카테킨75%하이베이스,카테킨 03~1g/g / 포장원문: 06월 20일
SRC21-0089,녹차추출물분말,(미지정),80000,미국,,일반식품,N,카테킨70%하이베이스,
SRC21-0090,녹차추출물분말,(미지정),77000,중국,,일반식품,N,카테킨70%하이베이스,
SRC21-0092,녹차추출물분말,(미지정),26000,인도,25,일반식품,N,카테킨30%,
SRC21-0093,녹차추출물분말,(미지정),27000,국산,20,일반식품,N,카테킨30%,
SRC21-0094,다래추출분말,(미지정),280000,,40,일반식품,N,하이베이스,
SRC21-0095,당귀농축액,(미지정),21000,국산,20,일반식품,N,,
SRC21-0096,대나무수액추출분말,(미지정),60000,인도,25,일반식품,N,하이베이스,
SRC21-0097,대두단백추출분말,(미지정),14000,중국,,일반식품,N,,
SRC21-0098,대두레시틴분말,(미지정),15000,인도,,일반식품,N,,
SRC21-0099,대두레시틴액상,(미지정),4600,미국,,일반식품,N,,
SRC21-0100,대두레시틴추출분말,(미지정),26000,인도,20,일반식품,N,하이베이스,
SRC21-0101,대두식이섬유,(미지정),3500,중국,20,일반식품,N,,
SRC21-0102,대두이소플라본(바이오이소플라본)(건식),(미지정),300000,미국,20,일반식품,N,현대바이오랜드(187.5mg/g)이상,
SRC21-0103,대두이소플라본(수용성이소플라본)(건식),(미지정),350000,미국,10,일반식품,N,현대바이오랜드(62mg/g)이상,
SRC21-0104,대두이소플라본,(미지정),105000,,10,일반식품,N,비배당체50mg/g,
SRC21-0105,대두이소플라본,(미지정),240000,,10,일반식품,N,비배당체200mg/g,
SRC21-0106,대두이소플라본,(미지정),460000,,10,일반식품,N,비배당체300mg/g,
SRC21-0107,대두추출분말,(미지정),58000,미국,,일반식품,N,이소플라본3%일반식품,
SRC21-0110,도라지원물,(미지정),9000,중국,30,일반식품,N,,
SRC21-0111,도라지원물,(미지정),23000,국산,30,일반식품,N,,
SRC21-0112,도라지추출물,(미지정),21000,,,일반식품,N,,
SRC21-0113,동충하초(밀라타리스),(미지정),55000,국산,10,일반식품,N,바이오케어,
SRC21-0114,딸기향,(미지정),11000,,,일반식품,N,,
SRC21-0115,라이코펜,(미지정),350000,인도,5,일반식품,N,6%,
SRC21-0116,라임농축액,(미지정),13500,,20,일반식품,N,,
SRC21-0117,락추로스분말50,(미지정),15000,,20,일반식품,N,,
SRC21-0118,락토바실러스플란타룸배양건조물,(미지정),70000,,3,일반식품,N,,
SRC21-0119,락토페린농축물,(미지정),1300000,호주,1,일반식품,N,,
SRC21-0120,락토페린농축물,(미지정),980000,호주,,일반식품,N,하이베이스,
SRC21-0121,락토페린농축물,(미지정),3500000,,,일반식품,N,,규격원문: 개별인정
SRC21-0122,락토페린복합농축물(10%),(미지정),45000,,,일반식품,N,김헤성과장,
SRC21-0123,레드비트농축분말,(미지정),18000,,20,일반식품,N,,
SRC21-0124,레드비트농축분말,(미지정),17000,,,일반식품,N,해찬솔푸드,
SRC21-0125,레드비트농축액(유기농),(미지정),8500,,,일반식품,N,,
SRC21-0126,레드비트분말,(미지정),26000,,,일반식품,N,국산/살균,
SRC21-0127,레몬과즙분말Hcs-5946,(미지정),15000,미국,20,일반식품,N,,
SRC21-0128,레몬껍질추추물(엽산5%),(미지정),78000,인도,,일반식품,N,선일에프앤씨,
SRC21-0129,레몬껍질추출분말,(미지정),120000,인도,,일반식품,N,하이베이스,
SRC21-0130,레몬밤추출분말,(미지정),15000,중국,25,일반식품,N,,
SRC21-0131,레몬향분말,(미지정),25000,,10,일반식품,N,,
SRC21-0132,레스베라톨,(미지정),165000,호주,20,일반식품,N,5%  지표성분(하이베이스),
SRC21-0133,로즈힙추출분말,(미지정),20000,칠레,20,일반식품,N,해찬솔푸드,
SRC21-0134,로즈힙추출분말,(미지정),60000,인도,25,일반식품,N,하이베이스,
SRC21-0135,로즈힙퓨레,(미지정),7500,,,일반식품,N,,
SRC21-0136,로얄제리,(미지정),205000,,5,일반식품,N,하이베이스/면세HDAg함량6%이상,
SRC21-0137,루바브추출분말,(미지정),24000,국산,20,일반식품,N,해찬솔푸드,
SRC21-0138,루바브추출분말,(미지정),20000,국산,20,일반식품,N,하이베이스,
SRC21-0139,루테인,(미지정),180000,미국,,일반식품,N,20%,
SRC21-0140,루테인,(미지정),150000,인도,,일반식품,N,20%,
SRC21-0141,리소짐분말,(미지정),220000,이탈리아,,일반식품,N,하이베이스,
SRC21-0142,리소짐분말,(미지정),260000,네덜란드,,일반식품,N,하이베이스,
SRC21-0143,리파아제,(미지정),180000,덴마크,5,일반식품,N,,
SRC21-0144,리파아제,(미지정),1100000,영국,1,일반식품,N,"115,000LipaseU/g",
SRC21-0145,링곤베리분말,(미지정),100000,에스토니아,,일반식품,N,하이베이스,
SRC21-0146,링콘베리,(미지정),100000,에스토니아,12.5,일반식품,N,하이베이스,
SRC21-0147,링콘베리퓨레분말,(미지정),85000,,,일반식품,N,하이베이스,
SRC21-0148,마더애플사이다비니거,(미지정),68000,미국,,일반식품,N,곤,
SRC21-0149,마리골드,(미지정),95000,미국,5,일반식품,N,루테인함유량5%,
SRC21-0150,마리골드꽃추출물,(미지정),140000,인도,5,일반식품,N,루테인오일(20%),
SRC21-0151,마리골드꽃추출물,(미지정),130000,,25,일반식품,N,루테인오일(20%),
SRC21-0152,마리골드꽃추출분말,(미지정),132000,인도,10,일반식품,N,루테인분말(10%),
SRC21-0153,마리골드추출물,(미지정),130000,,10,일반식품,N,,
SRC21-0154,마리골드추출분말,(미지정),80000,인도,1,일반식품,N,루테인함유량5% 지아잔틴1%,
SRC21-0155,마테추출분말,(미지정),16000,브라질,20,일반식품,N,해찬솔푸드,
SRC21-0156,마테추출분말,(미지정),50000,브라질,10,일반식품,N,하이베이스,
SRC21-0157,말토덱스트린,(미지정),1800,중국,,일반식품,N,해찬솔푸드,
SRC21-0158,말토덱스트린,(미지정),2400,국산,,일반식품,N,하이베이스,
SRC21-0159,망고스틴농축분말,(미지정),22000,,60,일반식품,N,해찬솔푸드,
SRC21-0160,매실추출분말,(미지정),17000,,20,일반식품,N,해찬솔푸드,
SRC21-0161,매실추출분말,(미지정),19000,,20,일반식품,N,새롬비엔네프,
SRC21-0162,매실추출분말,(미지정),18000,,20,일반식품,N,하이베이스,
SRC21-0163,맥아추출분말,(미지정),25000,국산,20,일반식품,N,,
SRC21-0164,맥아추출분말,(미지정),23500,영국,25,일반식품,N,,
SRC21-0165,맥주효모,(미지정),9500,독일,,일반식품,N,,
SRC21-0166,맥주효모,(미지정),9200,독일,25,일반식품,N,,
SRC21-0168,모로오렌지,(미지정),75000,폴란드,25,일반식품,N,C3G개런티됨,
SRC21-0169,모로오렌지,(미지정),16000,이탈리아,20,일반식품,N,엘본에이치앤비,
SRC21-0170,모로오렌지,(미지정),15000,,20,일반식품,N,새롬비엔에프,
SRC21-0171,모로오렌지,(미지정),55000,폴란드,15,일반식품,N,하이베이스,
SRC21-0172,모로오렌지,(미지정),18000,이스라엘,20,일반식품,N,하이베이스,
SRC21-0173,모로블러드오렌지농축액,(미지정),9700,이탈리아,,일반식품,N,하이베이스,
SRC21-0174,모링가추출분말,(미지정),15000,,60,일반식품,N,해찬솔푸드,
SRC21-0175,모링가추출분말,(미지정),21000,,20,일반식품,N,새롬비엔에프,
SRC21-0176,무수구연산,(미지정),3000,,25,일반식품,N,,
SRC21-0177,미강분말,(미지정),8000,,20,일반식품,N,살균,
SRC21-0178,미강추출분말,(미지정),26000,,10,일반식품,N,하이베이스,
SRC21-0180,뮤코다당.단백,(미지정),90000,중국,,일반식품,N,김부사장(단백질과 콘드로이친황산비율1이상~9.0이하(770mg/g),
SRC21-0181,뮤코다당(철갑상어),(미지정),190000,대만,,일반식품,N,단톡(김부사장)(1.2g~1.5g),
SRC21-0183,미나리추출분말(돌),(미지정),28000,,100,일반식품,N,고형분0.55 70%+덱스트린,
SRC21-0185,미역추출분말,(미지정),75000,중국,,일반식품,N,,
SRC21-0186,미역추출분말,(미지정),15000,,60,일반식품,N,해찬솔푸드,
SRC21-0187,밀배아추출물,(미지정),47000,,25,일반식품,N,,
SRC21-0188,밀크세라마이드,(미지정),270000,뉴질랜드,10,일반식품,N,,
SRC21-0189,밀크씨슬,(미지정),98000,미국,20,일반식품,N,실리마린50%,
SRC21-0190,밀크씨슬,(미지정),72000,중국,20,일반식품,N,실리마린80%,
SRC21-0191,밀크씨슬(유기농),(미지정),390000,미국,25,일반식품,N,실리마린50%,
SRC21-0192,밀크씨슬(유기농),(미지정),450000,스페인,5,일반식품,N,실리마린50%,
SRC21-0193,바나바잎추출물,(미지정),60000,인도,,일반식품,N,1%,
SRC21-0194,바실러스나토균농축분말,(미지정),950000,,,일반식품,N,선일에프엔씨(엠케이7),포장원문: 48mg
SRC21-0195,바실러스나토균농축분말,(미지정),2000000,,,일반식품,N,선일에프엔씨(1.3%)(10~20mg)(100~200㎍),
SRC21-0196,발레리안,(미지정),140000,프랑스,25,일반식품,N,하이베이스(발레리안산 0.8%),
SRC21-0197,발린,(미지정),27000,중국,25,일반식품,N,,
SRC21-0199,발효골드드키위분말,(미지정),200000,,,일반식품,N,,
SRC21-0200,발효율피추출분말,(미지정),19000,국산,,일반식품,N,고형분2.7% 국산프라타김치유산균72%,
SRC21-0201,발효홍삼농축액(6년근),(미지정),250000,,5,일반식품,N,현대바이오랜드,
SRC21-0202,발효홍삼농축액분말(6년근),(미지정),260000,,20,일반식품,N,현대바이오랜드,
SRC21-0203,벌나무농축액(산겨릅나무),(미지정),40000,,15,일반식품,N,하이베이스,
SRC21-0204,베타알라닌,(미지정),16000,중국,,일반식품,N,,
SRC21-0206,병풀추출물,(미지정),100000,인도,,일반식품,N,tripene 20%,
SRC21-0207,병풀추출물,(미지정),18000,중국,,일반식품,N,,
SRC21-0208,병풀추출물,(미지정),82000,,25,일반식품,N,태성,
SRC21-0209,보라지유,(미지정),47000,네덜란드,18,일반식품,N,20%,
SRC21-0210,보스웰리아,(미지정),43000,,,일반식품,N,70%,
SRC21-0211,보스웰리아추출분말,(미지정),12000,인도,25,일반식품,N,10%,
SRC21-0212,보스웰릭산,(미지정),11000,,,일반식품,N,10%,
SRC21-0213,보스웰릭산,(미지정),33000,,,일반식품,N,65%,
SRC21-0214,복분자농축애(65브릭스),(미지정),40000,국산,,일반식품,N,"복분자추출액(고형분5%),저당",
SRC21-0215,복분자농축액,(미지정),25000,중국,,일반식품,N,,
SRC21-0216,복분자농축액(20브릭스),(미지정),65000,국산,,일반식품,N,복분자100%,
SRC21-0217,복숭아추출분말,(미지정),27000,,20,일반식품,N,sr 25169,
SRC21-0218,복합효소,(미지정),285000,국산,10,일반식품,N,,
SRC21-0219,복합효소,(미지정),145000,인도,10,일반식품,N,,
SRC21-0220,부티릭산(뷰)(Butyric acid),(미지정),15000,스페인,10,일반식품,N,,
SRC21-0221,분리대두단백(ISP),(미지정),7000,인도,,일반식품,N,담원인터내셔널(COA)있슴,포장원문: 폰테라
SRC21-0222,분유(전지),(미지정),13000,,20,일반식품,N,,
SRC21-0223,분유(탈지),(미지정),10000,,20,일반식품,N,,
SRC21-0224,브로멜라인,(미지정),90000,인도네시아,10,일반식품,N,파인애플추출물60%(고형물90%)+덱스츠린(40%),
SRC21-0225,브로멜라인,(미지정),65000,인도,,일반식품,N,,
SRC21-0226,브로멜라인,(미지정),56000,필리핀,,일반식품,N,,
SRC21-0227,브로멜라인(1200GDU),(미지정),130000,태국,,일반식품,N,100%,
SRC21-0228,브로멜라인(1200GDU),(미지정),100000,인도,10,일반식품,N,효소원말76%+말토덱스트린35%,
SRC21-0229,브로콜리농축액,(미지정),13000,,20,일반식품,N,,
SRC21-0230,브로콜리추출분말,(미지정),19000,,20,일반식품,N,하아베이스,
SRC21-0231,마카분말(블랙),(미지정),25000,페루,,일반식품,N,,
SRC21-0232,마카분말(레드),(미지정),75000,,10,일반식품,N,서호상사,
SRC21-0233,블루베리농축분말,(미지정),24000,,20,일반식품,N,sr-24305,
SRC21-0234,블루베리농축액,(미지정),13000,미국,25,일반식품,N,,
SRC21-0235,블루베리주스농축액25,(미지정),12000,,25,일반식품,N,,
