excelId,원료명,복구내역
677,두충추출분말고형분30%,"company→origin(""한국"")"
681,레몬농축액,"company→origin(""이스라엘산"")"
683,링콘베리주스분말,"company→origin(""핀란드"")"
685,마추출분말,"company→origin(""국산"")"
686,마추출분말,"company→origin(""국산"")"
688,매실추출물분말,"company→origin(""국산"")"
689,맥문동분말,"company→origin(""중국산"")"
690,맥아추출분말,"company→origin(""국산"")"
691,맥아추출분말,"company→origin(""영국산"")"
692,민들레(포공영)일반분말,"company→origin(""국산"")"
693,민들레(포공영)일반분말,"company→origin(""중국"")"
694,민들레추출분말,"company→origin(""중국"")"
695,바나나 엑기스분말,"company→origin(""필리핀산"")"
696,발아현미분말,"company→origin(""국산"")"
698,발효구기자추출분말,"company→origin(""국산"")"
700,백복령추출분말,"company→origin(""중국"")"
704,보이차,"company→origin(""중국"")"
705,보이차추출분말,"company→origin(""중국"")"
706,복령분말,"company→origin(""중국산"")"
707,복령분말,"company→origin(""중국산"")"
708,복숭아농축액,"company→origin(""이스라엘산"")"
709,복숭아농출분말,"company→origin(""이스라엘산"")"
710,복합황금추출물,"company→origin(""한국"")"
714,산사자추출분말,"company→origin(""중국"")"
719,산약분말,"company→origin(""국산"")"
720,산약분말,"company→origin(""중국산"")"
721,산약분말,"company→origin(""중국산"")"
722,산약추출분말,"company→origin(""국내"")"
724,생강추출물,"company→origin(""한국"")"
727,서양산사자추출분말,"company→origin(""이태리"")"
728,석류추출분말,"company→origin(""이란"")"
729,석류추출분말,"company→origin(""튀르키예"")"
731,수국잎열수추출물,"company→origin(""국산"")"
733,숙지황농축액,"company→origin(""중국"")"
734,숙지황분말,"company→origin(""국산"")"
735,숙지황분말,"company→origin(""중국산"")"
736,숙지황엑기스,"company→origin(""국산"")"
737,숙지황추출분말,"company→origin(""국산"")"
739,아스파라거스추출분말,"company→origin(""페루,멕시코,호주"")"
740,알로에베라추출분말일반식품,"company→origin(""중국"")"
742,연자육추출분말,"company→origin(""국산"")"
744,오렌지농축분말,"company→origin(""브라질산"")"
745,오렌지농축액,"company→origin(""미국산"")"
747,와일드망고종자추출분말,"company→origin(""미국산"")"
748,와일드망고추출분말,"company→origin(""미국산"")"
750,용안육분말,"company→origin(""중국베트남"")"
753,울금분말,"company→origin(""인도"")"
754,울금분말,"company→origin(""인도네시아"")"
755,울금분말,"company→origin(""인도"")"
763,정향추출분말,"company→origin(""인도네시아"")"
765,진피추출분말,"company→origin(""한국"")"
768,천궁추출물,"company→origin(""한국"")"
769,함초분말,"company→origin(""국산"")"
770,황기추출물,"company→origin(""한국"")"
772,황금분말,"company→origin(""중국산"")"
774,어성초일반분말,"company→origin(""국산"")"
775,어성초일반분말,"company→origin(""중국산"")"
776,어성초추출분말,"company→origin(""국산"")"
777,어성초추출분말,"company→origin(""중국산"")"
780,모과농축액(65브릭스),"company→비고(규격값 ""모과9%+정제수91%"")"
781,모과농축액(60브릭스)100%,"company→비고(규격값 ""모과90%+저감미당10%"")"
785,생강농축액,"company→비고(규격값 ""생강100%"")"
786,생강농축액,"company→비고(규격값 ""당타입"")"
787,곰보배추분말(일반),"company→origin(""국산"")"
788,엘더베리(착즙)농축액(65브릭스),"company→origin(""오스트리아"")"
789,엘더베리추출분말(32:1),"company→origin(""독일"")"
793,사인분말,"company→origin(""베트남"")"
802,석류추출물,"company→packing(""20"")"
803,까마귀쪽나무열매주정추출물,"company→packing(""20"")"
804,칸달로프멜론추출물,"company→packing(""20"")"
805,초록입홍합추출오일복합물,"company→packing(""20"")"
806,헛개나무병추출분말,"company의 숫자값 폐기(""20"")"
807,작약추출물등복합물,"company→packing(""25"")"
808,돌외잎주정추출분말,"company→packing(""100"")"
809,레몬 밤 추출물,"company→packing(""100"")"
811,그린커피빈,"company→packing(""25"")"
812,핑거루트추출분말,"company→packing(""10"")"
826,라임농축액,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
831,레몬농축액4024,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
833,뽕잎추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
836,돼지감자추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
838,여주추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
840,갈근농축분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
844,맥문동추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
848,차가버섯추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
850,마추출분말(산약),"공급사 통일(""해찬솔푸드""→""해찬솔"")"
854,숙지황추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
857,쇠무릎분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
861,오미자추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
864,연자육추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
870,다시마추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
872,파슬리 추출물,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
873,블루베리 추출분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
874,모링가 추출물,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
884,레몬농축액,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
885,블루베리농축액,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
886,바나나 엑기스분말,"공급사 통일(""해찬솔푸드""→""해찬솔"")"
