미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
유산균(국내산구강유산균),1200000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(낙산균)(글스트리움부틸리콤미야이리2),600000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(다니스코),650000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(당화균),45000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(대만산구강유산균),1500000,대만,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(디글루GLU70),120000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(디글루MB0601),120000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(락토바실러스 애시도 필루스),290000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(락토바실러스 카제이),500000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(락토바실러스코오귤런스),470000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(락토바실러스파라카제이),1500000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(락토바실러스플란타룸),490000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(루테리),400000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(루테리)(엘2),140000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(미야리균)(낙산균),500000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(보울라디유산균),280000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(비피도박테리움 브레브),390000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(비피도박테리움 애니멀리스 락티스),340000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(비피도박테리움비피덤),170000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(알러지),1300000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
"유산균(비염,면역)",1500000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(엔테코커스페슘분말),510000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(질유산균8종VL8),890000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(항비만유산균 10종혼합유산균F2200),1800000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
유산균(혼합분말)(17종),340000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
글루타치온(L)효모추출물,160000,중국,바른에프피,보통,거래처 카탈로그,효모추출물,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
마리골드,95000,미국,올담식품,보통,거래처 카탈로그,마리골드추출분말,올담식품 리스트.xlsx,국산
마리골드,95000,미국,해찬솔,보통,거래처 카탈로그,마리골드추출분말,해찬솔푸드-품목리스트(통합)(24.03.27).pdf,이집트산
마리골드,95000,미국,태왕물산,보통,거래처 카탈로그,마리골드추출분말,태왕물산 주식회사_식첨 품목.xlsx,캐나다
칼슘(구연산),17000,미국,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(밀크칼슘),20000,뉴질랜드,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(밀크칼슘),17000,독일,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(산호),20000,미국,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(산호),24000,미국,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(어골),38000,미국,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(탄산),2500,일본,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
칼슘(해조),9500,프랑스,태왕물산,보통,거래처 카탈로그,밀크칼슘(Calcium Milk),태왕물산 주식회사_식첨 품목.xlsx,프랑스
빌베리추출물,77000,폴란드,태왕물산,보통,거래처 카탈로그,빌베리,태왕물산 주식회사_식첨 품목.xlsx,핀란드
빌베리추출물,950000,인도,태왕물산,보통,거래처 카탈로그,빌베리,태왕물산 주식회사_식첨 품목.xlsx,핀란드
활성엽산,27500,이탈리아,태왕물산,보통,거래처 카탈로그,엽산(FOLIC ACID),태왕물산 주식회사_식첨 품목.xlsx,스위스
마카분말(블랙),25000,페루,태왕물산,보통,거래처 카탈로그,마카(MACA),태왕물산 주식회사_식첨 품목.xlsx,페루
마카분말(레드),75000,,태왕물산,보통,거래처 카탈로그,마카(MACA),태왕물산 주식회사_식첨 품목.xlsx,페루
홍경천,330000,독일,태왕물산,보통,거래처 카탈로그,홍경천추출물,태왕물산 주식회사_식첨 품목.xlsx,
대두단백추출분말,14000,중국,태왕물산,보통,거래처 카탈로그,대두단백,태왕물산 주식회사_식첨 품목.xlsx,
밀크씨슬,98000,미국,동일팜텍,보통,거래처 카탈로그,밀크씨슬추출분말,동일팜텍 품목리스트_2024.pdf,프랑스
밀크씨슬,72000,중국,동일팜텍,보통,거래처 카탈로그,밀크씨슬추출분말,동일팜텍 품목리스트_2024.pdf,프랑스
밀크씨슬(유기농),390000,미국,동일팜텍,보통,거래처 카탈로그,밀크씨슬추출분말,동일팜텍 품목리스트_2024.pdf,프랑스
밀크씨슬(유기농),450000,스페인,동일팜텍,보통,거래처 카탈로그,밀크씨슬추출분말,동일팜텍 품목리스트_2024.pdf,프랑스
마리골드,95000,미국,동일팜텍,보통,거래처 카탈로그,마리골드꽃추출물,동일팜텍 품목리스트_2024.pdf,프랑스
사균체(포스트바이오틱스),60000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
사균체(포스트바이오틱스),2000000,일본,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
