미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
발효홍삼농축액분말(6년근),260000,,BTC,확실,거래처 카탈로그,발효홍삼농축액분말 (발효 홍삼),(BTC) 취급원료 리스트.xlsx,BTC(국내산)
은행잎추출분말 24%,185000,미국,BTC,확실,거래처 카탈로그,은행잎추출분말 (은행잎추출물),(BTC) 취급원료 리스트.xlsx,중국산
밀크씨슬,98000,미국,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
밀크씨슬,72000,중국,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
밀크씨슬(유기농),390000,미국,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
밀크씨슬(유기농),450000,스페인,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
루테인,180000,미국,BTC,확실,거래처 카탈로그,루테인 (마리골드꽃 추출물),(BTC) 취급원료 리스트.xlsx,인도산
루테인,150000,인도,BTC,확실,거래처 카탈로그,루테인 (마리골드꽃 추출물),(BTC) 취급원료 리스트.xlsx,인도산
키토산,45000,중국,BTC,확실,거래처 카탈로그,키토산,(BTC) 취급원료 리스트.xlsx,베트남산
글루타치온(캐나다),450000,캐나다,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온(14%)(스위스),180000,스위스,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온,350000,인도,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온50%,380000,캐나다,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온50%,250000,인도,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
녹용추출분말,140000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용추출분말(100%),(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용추출분말,65000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용추출분말(100%),(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용농축액,145000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용농축액,(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용농축액,155000,러시아,바이오케어,확실,거래처 카탈로그,녹용농축액,(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용추출액,27000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용추출액,(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
감초(원물),50000,국산,바이오케어,확실,거래처 카탈로그,감초,(주)바이오케어 식품원료리스트 .pdf,국산/우즈벡
감초(원물)(우즈베키스탄),14000,,바이오케어,확실,거래처 카탈로그,감초,(주)바이오케어 식품원료리스트 .pdf,국산/우즈벡
강황(하이드로커큐민)(수용성),260000,인도,바이오케어,확실,거래처 카탈로그,강황,(주)바이오케어 식품원료리스트 .pdf,인도
유근피,50000,,바이오케어,확실,거래처 카탈로그,유근피,(주)바이오케어 식품원료리스트 .pdf,국산/수입
침향,140000,,바이오케어,확실,거래처 카탈로그,침향,(주)바이오케어 식품원료리스트 .pdf,인도네시아
침향(개성상인),85000,,바이오케어,확실,거래처 카탈로그,침향,(주)바이오케어 식품원료리스트 .pdf,인도네시아
침향,42000,인도네시아,바이오케어,확실,거래처 카탈로그,침향,(주)바이오케어 식품원료리스트 .pdf,인도네시아
과라나추출분말,46000,브라질,하이베이스,확실,거래처 카탈로그,과라나추출분말(Guarana),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국(브라질)
과라나추출분말22%,71000,브라질,하이베이스,확실,거래처 카탈로그,과라나추출분말(Guarana),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국(브라질)
과라나추출분말22%,48000,,하이베이스,확실,거래처 카탈로그,과라나추출분말(Guarana),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국(브라질)
구아검,5500,인도,하이베이스,확실,거래처 카탈로그,구아검(Guar gum),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
구아바잎추출물,60000,인도,하이베이스,확실,거래처 카탈로그,구아바잎추출물(분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
글루코만난,24000,,하이베이스,확실,거래처 카탈로그,글루코만난(Glucomannan),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
글루코사민(N-아세틸),110000,태국,하이베이스,확실,거래처 카탈로그,글루코사민(염산염),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
글루콘산 아연,29000,미국,하이베이스,확실,거래처 카탈로그,글루콘산아연,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국
글루타민,16000,중국,하이베이스,확실,거래처 카탈로그,글루타민(L-Glutamine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
글리신,8000,국산,하이베이스,확실,거래처 카탈로그,글리신(Glycine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
레몬밤추출분말,15000,중국,하이베이스,확실,거래처 카탈로그,레몬밤추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
로이신(루신),28000,중국,하이베이스,확실,거래처 카탈로그,로이신(L-Leucine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
이소로이신,38000,중국,하이베이스,확실,거래처 카탈로그,이소로이신(L-Isoleucine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
마리골드꽃추출분말,132000,인도,하이베이스,확실,거래처 카탈로그,마리골드꽃추출분말(루테인 비들렛),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
마리골드추출분말,80000,인도,하이베이스,확실,거래처 카탈로그,마리골드추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
맥주효모,9500,독일,하이베이스,확실,거래처 카탈로그,맥주효모(분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,리투아니아
맥주효모,9200,독일,하이베이스,확실,거래처 카탈로그,맥주효모(분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,리투아니아
밀크씨슬,98000,미국,하이베이스,확실,거래처 카탈로그,밀크씨슬(건식),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
밀크씨슬,72000,중국,하이베이스,확실,거래처 카탈로그,밀크씨슬(건식),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
밀크씨슬(유기농),390000,미국,하이베이스,확실,거래처 카탈로그,밀크씨슬(건식),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
밀크씨슬(유기농),450000,스페인,하이베이스,확실,거래처 카탈로그,밀크씨슬(건식),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
바나바잎추출물,60000,인도,하이베이스,확실,거래처 카탈로그,바나바잎추출물(분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
바나바잎추출물1%,85000,인도,하이베이스,확실,거래처 카탈로그,바나바잎추출물(분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
발린,27000,중국,하이베이스,확실,거래처 카탈로그,발린(L-Valine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
보스웰리아추출분말,12000,인도,하이베이스,확실,거래처 카탈로그,보스웰리아추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
보스웰리아,43000,,하이베이스,확실,거래처 카탈로그,보스웰리아,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
보이차추출분말,17000,중국,하이베이스,확실,거래처 카탈로그,보이차추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
마카분말(블랙),25000,페루,하이베이스,확실,거래처 카탈로그,마카분말,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
마카분말(레드),75000,,하이베이스,확실,거래처 카탈로그,마카분말,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
상어연골분말,48000,,하이베이스,확실,거래처 카탈로그,상어연골분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,호주
상어연골분말,95000,미국,하이베이스,확실,거래처 카탈로그,상어연골분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,호주
상어연골,48000,호주,하이베이스,확실,거래처 카탈로그,상어연골,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
상어연골,35000,중국,하이베이스,확실,거래처 카탈로그,상어연골,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
상어연골추출분말,75000,중국,하이베이스,확실,거래처 카탈로그,상어연골추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
아르지닌(아르기닌),28000,국산,하이베이스,확실,거래처 카탈로그,아르지닌(L-Arginine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
아르지닌(아르기닌),24000,미국,하이베이스,확실,거래처 카탈로그,아르지닌(L-Arginine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
아르지닌(아르기닌),22000,중국,하이베이스,확실,거래처 카탈로그,아르지닌(L-Arginine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
아르지닌,17000,인도,하이베이스,확실,거래처 카탈로그,아르지닌(L-Arginine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
아티초크추출분말,40000,프랑스,하이베이스,확실,거래처 카탈로그,아티초크추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,스페인
아티초크추출분말,50000,스페인,하이베이스,확실,거래처 카탈로그,아티초크추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,스페인
아티초크추출분말,58000,스페인,하이베이스,확실,거래처 카탈로그,아티초크추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,스페인
알로에베라추출분말,195000,,하이베이스,확실,거래처 카탈로그,알로에베라추출분말(알로에전잎),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
알로에베라추출분말,58000,,하이베이스,확실,거래처 카탈로그,알로에베라추출분말(알로에전잎),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
어골칼슘,38000,프랑스,하이베이스,확실,거래처 카탈로그,어골칼슘,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,프랑스
칼슘(구연산),17000,미국,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(밀크칼슘),20000,뉴질랜드,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(밀크칼슘),17000,독일,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(산호),20000,미국,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(산호),24000,미국,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(어골),38000,미국,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(탄산),2500,일본,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
칼슘(해조),9500,프랑스,하이베이스,확실,거래처 카탈로그,칼슘(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
옥타코사놀,720000,독일,하이베이스,확실,거래처 카탈로그,옥타코사놀(Octacosanol:분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
은행잎추출물,180000,미국,하이베이스,확실,거래처 카탈로그,은행잎추출물(분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국
인디안구스베리추출분말,80000,인도,하이베이스,확실,거래처 카탈로그,인디안구스베리추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
자일리톨,7500,중국,하이베이스,확실,거래처 카탈로그,자일리톨(Xylitol:분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
주석산수소콜린,55000,,하이베이스,확실,거래처 카탈로그,주석산수소콜린,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,이태리
카르니틴,50000,중국,하이베이스,확실,거래처 카탈로그,카르니틴(L-Carnitine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
카르니틴(L),50000,중국,하이베이스,확실,거래처 카탈로그,카르니틴(L-Carnitine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
코엔자임Q10,850000,미국,하이베이스,확실,거래처 카탈로그,코엔자임Q10(Coenzyme Q10),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
코엔자임Q10,830000,인도,하이베이스,확실,거래처 카탈로그,코엔자임Q10(Coenzyme Q10),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
코엔자임Q10,770000,중국,하이베이스,확실,거래처 카탈로그,코엔자임Q10(Coenzyme Q10),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
콜라겐(당근),70000,,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(비변성2형),7700000,일본,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(어린피쉬),36000,,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(어린피쉬),46000,캐나다,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(피쉬),24000,대만,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(피쉬),38000,베트남,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(피쉬),29000,,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
콜라겐(피쉬),28000,국산,하이베이스,확실,거래처 카탈로그,콜라겐(저분자 피쉬 콜라겐분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,대만
키토산,45000,중국,하이베이스,확실,거래처 카탈로그,키토산(Chitosan:분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,태국
타우린,6500,중국,하이베이스,확실,거래처 카탈로그,타우린(Taurine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
테아닌,100000,중국,하이베이스,확실,거래처 카탈로그,테아닌(L-Theanine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
트립토판,28000,중국,하이베이스,확실,거래처 카탈로그,트립토판(L-Tryptophan),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
트립토판,260000,미국,하이베이스,확실,거래처 카탈로그,트립토판(L-Tryptophan),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
트립토판,190000,일본,하이베이스,확실,거래처 카탈로그,트립토판(L-Tryptophan),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
포스파티딜세린분말,660000,미국,하이베이스,확실,거래처 카탈로그,포스파티딜세린분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국
포스파티딜세린분말,500000,인도,하이베이스,확실,거래처 카탈로그,포스파티딜세린분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,미국
포스파티딜세린70%,590000,인도,하이베이스,확실,거래처 카탈로그,포스파티딜세린(건기식),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
프로폴리스,90000,호주,하이베이스,확실,거래처 카탈로그,프로폴리스(Propolis:분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
프로폴리스,420000,브라질,하이베이스,확실,거래처 카탈로그,프로폴리스(Propolis:분말),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
프롤린,33000,중국,하이베이스,확실,거래처 카탈로그,프롤린(L-Proline),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
핑거루트 추출분말(개별인정형),330000,,하이베이스,확실,거래처 카탈로그,핑거루트추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
핑거루트추출분말,300000,,하이베이스,확실,거래처 카탈로그,핑거루트추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
홍국,170000,미국,하이베이스,확실,거래처 카탈로그,홍국,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
홍국,270000,인도,하이베이스,확실,거래처 카탈로그,홍국,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
흰강낭콩추출분말,15000,캐나다,하이베이스,확실,거래처 카탈로그,흰강낭콩추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
흰강낭콩추출분말,45000,인도,하이베이스,확실,거래처 카탈로그,흰강낭콩추출분말,251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,인도
히스티딘,110000,중국,하이베이스,확실,거래처 카탈로그,히스티딘(L-Histidine),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
히알루론산,440000,미국,하이베이스,확실,거래처 카탈로그,히알루론산(Hyalronic Acid:저분자),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
히알루론산,370000,미국,하이베이스,확실,거래처 카탈로그,히알루론산(Hyalronic Acid:저분자),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
히알루론산,275000,중국,하이베이스,확실,거래처 카탈로그,히알루론산(Hyalronic Acid:저분자),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,중국
마테추출분말,16000,브라질,하이베이스,확실,거래처 카탈로그,마테추출분말(Mate),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,브라질
마테추출분말,50000,브라질,하이베이스,확실,거래처 카탈로그,마테추출분말(Mate),251-255쪽 3-2. 직수입원료 목록-1(하이베이스).xlsx,브라질
"유산균(고초균,당화균)(subtillus)",55000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(국내산구강유산균),1200000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(낙산균)(글스트리움부틸리콤미야이리2),600000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(다니스코),650000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(당화균),45000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(대만산구강유산균),1500000,대만,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(디글루GLU70),120000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(디글루MB0601),120000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(락토바실러스 애시도 필루스),290000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(락토바실러스 카제이),500000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(락토바실러스코오귤런스),470000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(락토바실러스파라카제이),1500000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(락토바실러스플란타룸),490000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(루테리),400000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(루테리)(엘2),140000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(미야리균)(낙산균),500000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(보울라디유산균),280000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(비피도박테리움 브레브),390000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(비피도박테리움 애니멀리스 락티스),340000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(비피도박테리움비피덤),170000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(알러지),1300000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
"유산균(비염,면역)",1500000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(엔테코커스페슘분말),510000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(질유산균8종VL8),890000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(항비만유산균 10종혼합유산균F2200),1800000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
유산균(혼합분말)(17종),340000,,하이베이스,확실,거래처 카탈로그,유산균(혼합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
그린프로폴리스,300000,,바른에프피,확실,거래처 카탈로그,그린프로폴리스,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,브라질
홍삼농축액,170000,,바른에프피,확실,거래처 카탈로그,홍삼농축액(4년근),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
홍삼농축액(6년근),210000,,바른에프피,확실,거래처 카탈로그,홍삼농축액(4년근),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
오메가3(식물성)(알티지),79000,프랑스,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
오메가3(알티지)(동물성),21500,노르웨이,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
오메가3(알티지)(동물성),82000,노르웨이,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
오메가3(알티지)(동물성),160000,독일,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
오메가3(알티지)(동물성),90000,네덜란드,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
오메가3(정제어유분말),65000,독일,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
오메가3(정제유분말),46000,,바른에프피,확실,거래처 카탈로그,오메가3 (압착저온추출),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,노르웨이
은행잎추출분말 24%,185000,미국,바른에프피,확실,거래처 카탈로그,은행잎추출분말,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
MSM,20000,미국,바른에프피,확실,거래처 카탈로그,MSM,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
MSM(옵티),60000,미국,바른에프피,확실,거래처 카탈로그,MSM,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
보스웰리아추출분말,12000,인도,바른에프피,확실,거래처 카탈로그,보스웰리아추출분말,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,인도
녹색입홍합분말(동결건조),65000,뉴질랜드,바른에프피,확실,거래처 카탈로그,녹색입홍합분말,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,뉴질랜드
마리골드꽃추출물,140000,인도,바른에프피,확실,거래처 카탈로그,마리골드꽃추출물 (루테인),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
마리골드꽃추출물,130000,,바른에프피,확실,거래처 카탈로그,마리골드꽃추출물 (루테인),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
히비스커스추출분말,80000,독일,바른에프피,확실,거래처 카탈로그,히비스커스추출분말,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
히알루론산,440000,미국,바른에프피,확실,거래처 카탈로그,히알루론산,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
히알루론산,370000,미국,바른에프피,확실,거래처 카탈로그,히알루론산,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
히알루론산,275000,중국,바른에프피,확실,거래처 카탈로그,히알루론산,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
어골칼슘,38000,프랑스,바른에프피,확실,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
비타민C,7500,중국,바른에프피,확실,거래처 카탈로그,비타민C 97% (HPMC),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
비타민C(중성),70000,미국,바른에프피,확실,거래처 카탈로그,비타민C 97% (HPMC),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
비타민C(리포조말),150000,,바른에프피,확실,거래처 카탈로그,비타민C 97% (HPMC),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
비타민C(리포조말),170000,미국,바른에프피,확실,거래처 카탈로그,비타민C 97% (HPMC),바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,중국
